Name,FileName,StartTime,EndTime,Type,Loop,Description
filler-main,filler-main,0,2000,gallery,true,Default A10 piston filler
filler-main-parasite,filler-main-parasite,0,3994,gallery,true,Weaker low-frequency A10 piston filler for parasite and egg statuses
filler-breast,filler-breast,0,2000,gallery,true,Default synchronized UFO TW filler
filler-breast-swollen,filler-breast-swollen,0,2000,gallery,true,Stronger breast filler for 膨乳; requires hardware approval
sinisistar2-3c72dc385e33bcb21786,sinisistar2-3c72dc385e33bcb21786,0,816,gallery,true,gallery/GaID_PriestRod_H/Continue
sinisistar2-8436e5762719679f9864,sinisistar2-8436e5762719679f9864,0,733,gallery,true,hold/EnmID_MeatWorm1/Idle_Broken
sinisistar2-7c8e66aba77550605789,sinisistar2-7c8e66aba77550605789,0,2309,gallery,true,hold/EnmID_MeatWorm1/Idle_Injured
sinisistar2-2ebaebb727ec50d30257,sinisistar2-2ebaebb727ec50d30257,0,3100,gallery,true,hold/GaID_Enenuth/Down
sinisistar2-155e8951a6d56afba4e9,sinisistar2-155e8951a6d56afba4e9,0,733,gallery,true,hold/GaID_Enenuth/Idle
sinisistar2-8ba0d3e104a29c64f788,sinisistar2-8ba0d3e104a29c64f788,0,3100,gallery,false,hold/GaID_EnenuthMollusk/Down
sinisistar2-549b9cacec94ac5b8d82,sinisistar2-549b9cacec94ac5b8d82,0,733,gallery,true,hold/GaID_SwampLeech/Idle_Broken
sinisistar2-7df69f1eb3dcb1d38d2d,sinisistar2-7df69f1eb3dcb1d38d2d,0,3100,gallery,true,hold/GaID_SwampLeech/Down
sinisistar2-ffed5e0bb2551631a5ad,sinisistar2-ffed5e0bb2551631a5ad,0,733,gallery,true,hold/GaID_SwampLeech/Idle
sinisistar2-095d2970cfb6223a89ff,sinisistar2-095d2970cfb6223a89ff,0,2315,gallery,true,hold/GaID_SwampLeech_Adult/Idle_Injured
sinisistar2-dc016bc78b49e460720c,sinisistar2-dc016bc78b49e460720c,0,2317,gallery,true,hold/GaID_FlyBug/Idle_Injured
sinisistar2-ac3b435c0e904bd62b3c,sinisistar2-ac3b435c0e904bd62b3c,0,733,gallery,true,hold/GaID_FlyBug/Idle_Broken
sinisistar2-69f16b6f217451a7691d,sinisistar2-69f16b6f217451a7691d,0,2317,gallery,true,hold/GaID_LeechMan/Idle_Injured
sinisistar2-4e8df68905f4a6f896b9,sinisistar2-4e8df68905f4a6f896b9,0,733,gallery,true,hold/GaID_LeechMan/Idle_Broken
sinisistar2-15da08afcd491bda7f3e,sinisistar2-15da08afcd491bda7f3e,0,1000,gallery,true,gallery/GaID_EnenuthMother/Continue
sinisistar2-3186b538ce8ef189e52c,sinisistar2-3186b538ce8ef189e52c,0,5000,gallery,false,gallery/GaID_EnenuthMother/Failure
sinisistar2-9af6f3bf4c37a87ddc05,sinisistar2-9af6f3bf4c37a87ddc05,0,1000,gallery,true,gallery/GaID_VillagerMiddleMale_A_Pig/Continue_Hold
sinisistar2-8f7d7cbefef64e64e8c6,sinisistar2-8f7d7cbefef64e64e8c6,0,1000,gallery,true,gallery/GaID_VillagerMiddleMale_A_Pig/Continue_Hold_Breast2
sinisistar2-ff21f20fd2ba7fa39cca,sinisistar2-ff21f20fd2ba7fa39cca,0,1000,gallery,true,gallery/GaID_VillagerMiddleMale_A_Pig/GO2_Milk
sinisistar2-2a395323adef9064467f,sinisistar2-2a395323adef9064467f,0,997,gallery,true,gallery/GaID_Region/Continue
sinisistar2-3a3a258f5e6c46b54e1f,sinisistar2-3a3a258f5e6c46b54e1f,0,999,gallery,true,gallery/GaID_Region/Go1
sinisistar2-0a46496e33afd840a996,sinisistar2-0a46496e33afd840a996,0,999,gallery,true,gallery/GaID_PriestRod_H/GO2
